bird;s2_animal_1.wav
cat;s2_animal_2.wav
dog;s2_animal_3.wav
monkey;s2_animal_4.wav
sheep;s2_animal_5.wav
monkey;s2_animal_6.wav
bird;s2_animal_7.wav
chicken;s2_animal_8.wav
cat;s2_animal_9.wav
chicken;s2_animal_10.wav
pig;s2_animal_11.wav
monkey;s2_animal_12.wav
pig;s2_animal_13.wav
cow;s2_animal_14.wav
sheep;s2_animal_15.wav
dog;s2_animal_16.wav
dog;s2_animal_17.wav
dog;s2_animal_18.wav
duck;s2_animal_19.wav
chicken;s2_animal_20.wav
bird;s2_animal_21.wav
insect;s2_animal_22.wav
dog;s2_animal_23.wav
goat;s2_animal_24.wav
duck;s2_animal_25.wav
chicken;s2_animal_26.wav
sheep;s2_animal_27.wav
dog;s2_animal_28.wav
cat;s2_animal_29.wav
bird;s2_animal_30.wav
pig;s2_animal_31.wav
horse;s2_animal_32.wav
monkey;s2_animal_33.wav
duck;s2_animal_34.wav
cow;s2_animal_35.wav
chicken;s2_animal_36.wav
wolf;s2_animal_37.wav
dog;s2_animal_38.wav
dog;s2_animal_39.wav
bird;s2_animal_40.wav
bird;s2_animal_41.wav
bird;s2_animal_42.wav
monkey;s2_animal_43.wav
monkey;s2_animal_44.wav
monkey;s2_animal_45.wav
duck;s2_animal_46.wav
bird;s2_animal_47.wav
chicken;s2_animal_48.wav
piano;s2_music_1.wav
organ;s2_music_2.wav
percussion;s2_music_3.wav
guitar;s2_music_4.wav
harmonica;s2_music_5.wav
violin;s2_music_6.wav
drum;s2_music_7.wav
guitar;s2_music_8.wav
harp;s2_music_9.wav
drum;s2_music_10.wav
drum;s2_music_11.wav
guitar;s2_music_12.wav
guitar;s2_music_13.wav
guitar;s2_music_14.wav
drum;s2_music_15.wav
guitar;s2_music_16.wav
piano;s2_music_17.wav
synthesizer;s2_music_18.wav
clarinet;s2_music_19.wav
trumpet;s2_music_20.wav
trumpet;s2_music_21.wav
trumpet;s2_music_22.wav
bass;s2_music_23.wav
synthesizer;s2_music_24.wav
chimes;s2_music_25.wav
organ;s2_music_26.wav
synthesizer;s2_music_27.wav
sitar;s2_music_28.wav
bells;s2_music_29.wav
drum;s2_music_30.wav
bagpipe;s2_music_31.wav
flute;s2_music_32.wav
ensamble;s2_music_33.wav
clarinet;s2_music_34.wav
flute;s2_music_35.wav
piano;s2_music_36.wav
piano;s2_music_37.wav
bass;s2_music_38.wav
harmonica;s2_music_39.wav
percussion;s2_music_40.wav
accordion;s2_music_41.wav
flute;s2_music_42.wav
clarinet;s2_music_43.wav
piano;s2_music_44.wav
trumpet;s2_music_45.wav
flute;s2_music_46.wav
